"scientific_name","full_name","AphiaID","common_name","flag","comment","quantity","use_method_cov","run_initiated","run_completed","run_time","models","num_presence","num_absence","run_name","observation_methods","method_predict_to","mean_TSS_ensemble","mean_TSS_all_submodels","metric_select_and_weight","metric_binary","short_name","output_repo","kept_algos","n_kept_algos"
"Acrochaetium.secundatum","Acrochaetium secundatum",144387,NA,"red","Swedish west coast missing in predictions.",181,FALSE,1,1,0.598573129110866,"RF, XGBOOST, GAM",181,8961,"run3_macrophytes",NA,NA,0.996205357142857,0.9148,"TSS","TSS","Acrochaetium.secundatum","macrophytes","RF,XGBOOST,GAM",3
"Aegagropila.linnaei","Aegagropila linnaei",664371,NA,"green","",4516,FALSE,1,1,1.17321991138988,"RF, XGBOOST, GAM",4516,24889,"run3_macrophytes",NA,NA,0.891486527431663,0.658733333333333,"TSS","TSS","Aegagropila.linnaei","macrophytes","RF,XGBOOST,GAM",3
"Agarophyton.vermiculophyllum","Agarophyton vermiculophyllum",236157,NA,"red","Swedish west coast missing in predictions. Low number of positive cases (presences) in model training data.",96,TRUE,1,1,0.571294334464603,"RF, XGBOOST, GAM",96,4755,"run3_macrophytes","DE,DK,EE,FI,PL,SE","DK",1,0.9246,"TSS","TSS","Agarophyton.vermiculophyl","macrophytes","RF,XGBOOST,GAM",3
"Aglaothamnion.tenuissimum","Aglaothamnion tenuissimum",144501,NA,"yellow","Southeast coast of Sweden underpredicted and/or southeast Baltic possibly overpredicted.",441,FALSE,1,1,0.778550806376669,"RF, XGBOOST, GAM",441,21154,"run3_macrophytes",NA,NA,0.981186480737414,0.946933333333333,"TSS","TSS","Aglaothamnion.tenuissimum","macrophytes","RF,XGBOOST,GAM",3
"Ahnfeltia.plicata","Ahnfeltia plicata",144422,"red seaweed","green","",368,FALSE,1,1,0.587038800319036,"RF, XGBOOST, GAM",368,16225,"run3_macrophytes",NA,NA,0.927702494482155,0.7632,"TSS","TSS","Ahnfeltia.plicata","macrophytes","RF,XGBOOST,GAM",3
"Alisma.wahlenbergii","Alisma wahlenbergii",715999,NA,"green","",443,FALSE,1,1,0.731508732239405,"RF, XGBOOST, GAM",443,15772,"run3_macrophytes",NA,NA,0.930976181485255,0.760466666666667,"TSS","TSS","Alisma.wahlenbergii","macrophytes","RF,XGBOOST,GAM",3
"Apoglossum.ruscifolium","Apoglossum ruscifolium",144737,NA,"yellow","Low number of positive cases (presences) in model training data.",125,FALSE,1,1,0.544053859114647,"RF, XGBOOST, GAM",125,5796,"run3_macrophytes",NA,NA,0.972562553925798,0.694533333333333,"TSS","TSS","Apoglossum.ruscifolium","macrophytes","RF,XGBOOST,GAM",3
"Ascophyllum.nodosum","Ascophyllum nodosum",145541,"egg wrack; knotted wrack; rockweed","green","",311,FALSE,1,1,0.75639613058832,"RF, XGBOOST, GAM",311,15402,"run3_macrophytes",NA,NA,0.974109761206535,0.885933333333333,"TSS","TSS","Ascophyllum.nodosum","macrophytes","RF,XGBOOST,GAM",3
"Asperococcus.bullosus","Asperococcus bullosus",145311,NA,"green","",192,FALSE,1,1,0.657315048045582,"RF, XGBOOST, GAM",192,9517,"run3_macrophytes",NA,NA,0.9955859169732,0.9322,"TSS","TSS","Asperococcus.bullosus","macrophytes","RF,XGBOOST,GAM",3
"Batrachospermum","Batrachospermum",494050,NA,"yellow","Low number of positive cases (presences) in model training data.",109,FALSE,1,1,0.531132698323992,"RF, XGBOOST, GAM",109,5406,"run3_macrophytes",NA,NA,0.966092002354722,0.8134,"TSS","TSS","Batrachospermum","macrophytes","RF,XGBOOST,GAM",3
